id_user,timestamp,source,message,category
4844,11/1/2024,livechat,"""What time is it where u are""",Irrelevant/Other
3985,11/1/2024,livechat,"""What happened to the Cashback piggy?""",Bonuses/Promotions Issues
2578,11/1/2024,livechat,"""Deactivated""",Irrelevant/Other
1040,11/1/2024,telegram,"""It says access issues detected""",Account/Login Issues
4288,11/1/2024,livechat,"""Im in arizona""",Irrelevant/Other
1039,11/1/2024,telegram,"""My free signup bonus doesn’t work""",Bonuses/Promotions Issues
247,11/1/2024,livechat,"""I don't understand what u mean""",Irrelevant/Other
4421,11/1/2024,livechat,"""Im in the us""",Irrelevant/Other
4230,11/1/2024,livechat,"""The bonus of 0.0036... I just added and active but that one isn't showing""",Bonuses/Promotions Issues
3713,11/1/2024,livechat,"""Okay hopefully I don't have to bother you anymore I apologize.""",Irrelevant/Other
4233,11/1/2024,livechat,"""To withdraw my money I am a continuously paying client""",Withdrawal/Cashout Issues
4117,11/1/2024,livechat,"""may I upload the document here, and you can tell me if it’s alright or not?""",Irrelevant/Other
4468,11/1/2024,livechat,"""Hi can i have my depositing currency changed back to Ethereum please?""",Deposit/Payment Issues
4566,11/1/2024,livechat,"""I am sorry for being so angry but u would be too""",Irrelevant/Other
3848,11/1/2024,livechat,"""ive depoistioed so much everyday""",Irrelevant/Other
4239,11/1/2024,livechat,"""Making sure its to this address""",Irrelevant/Other
1050,11/1/2024,telegram,"""So I basically was undermined and signed up and used my last of my BTC balance to get in with u guys""",Irrelevant/Other
1050,11/1/2024,telegram,"""Sorry""",Irrelevant/Other
1050,11/1/2024,telegram,"""❤️""",Irrelevant/Other
4105,11/1/2024,livechat,"""It may be that the bonus has been delayed however I want to check as I’ve usually received it by now every week.""",Bonuses/Promotions Issues
1053,11/1/2024,telegram,"""I never created another account is it possible someone might have created another account and since it seems that is tr case can you shut it down""",Account/Login Issues
4659,11/1/2024,livechat,"""I don’t need bonus and I just want to get my desposit""",Bonuses/Promotions Issues
5062,11/1/2024,livechat,"""I already deposited too many time even I had lost""",Deposit/Payment Issues
4485,11/1/2024,livechat,"""hey I just wanted to know the time my account will be reopened""",Account/Login Issues
5132,11/1/2024,livechat,"""On my case, i dont huh?""",Irrelevant/Other
4167,11/1/2024,livechat,"""today about a $100 no deposit bonus""",Deposit/Payment Issues
1059,11/1/2024,telegram,"""I was playing the game 777 slots it took my whole balance and said I have no funds left for my bet which is not right I still had funds in my account this is rediculas and I am not happy at all""",Account/Login Issues
4190,11/1/2024,livechat,"""as a side note; david was completely unprofessional and almost seemed drunk""",Irrelevant/Other
4227,11/1/2024,livechat,"""Ok. My card is at home and i am at work. I might play some more, and upload details when i have my card with me again.""",Irrelevant/Other
4350,11/1/2024,livechat,"""Then my game was glitched then""",Gameplay/Technical Issues
4259,11/1/2024,livechat,"""it’s already auto collected the jackpot mania now""",Irrelevant/Other
57,11/1/2024,telegram,"""It shows pending and there is a cancel option""",Irrelevant/Other
4145,11/1/2024,livechat,"""weres my game history""",Gameplay/Technical Issues
4621,11/1/2024,livechat,"""The limit was €150. I then have to pay out the amount. I would like to continue playing""",Irrelevant/Other
5147,11/1/2024,livechat,"""right. okay well have a good day, thank you!""",Irrelevant/Other
1122,11/1/2024,telegram,"""I just deposited money and I did one spin and it took it all away all my money's gone how is that""",Deposit/Payment Issues
5232,11/1/2024,livechat,"""that's random haha""",Irrelevant/Other
5047,11/1/2024,livechat,"""in othe convo but my phone died""",Irrelevant/Other
4421,11/1/2024,livechat,"""Hello I placed 9th in jackpot spins for last month""",Gameplay/Technical Issues
710,11/1/2024,livechat,"""Payment system account used by another user problem""",Account/Login Issues
4157,11/1/2024,livechat,"""i am concerned""",Irrelevant/Other
406,11/1/2024,telegram,"""Ok Gotit now thx""",Irrelevant/Other
4073,11/1/2024,livechat,"""But on my end it isn’t “pending” it says completed""",Irrelevant/Other
